Region label,Region name,Hemi,Centroid R,Centroid A,Centroid S,AAL_Subcortical Region Label,AAL_Subcortical Region Name,AAL_Subcortical Overlap Ratio,AAL_Subcortical Centroid R,AAL_Subcortical Centroid A,AAL_Subcortical Centroid S,BN_Subcortical Region Label,BN_Subcortical Region Name,BN_Subcortical Overlap Ratio,BN_Subcortical Centroid R,BN_Subcortical Centroid A,BN_Subcortical Centroid S,HarvardOxford_Subcortical Region Label,HarvardOxford_Subcortical Region Name,HarvardOxford_Subcortical Overlap Ratio,HarvardOxford_Subcortical Centroid R,HarvardOxford_Subcortical Centroid A,HarvardOxford_Subcortical Centroid S,Tianye Region Label,Tianye Region Name,Tianye Overlap Ratio,Tianye Centroid R,Tianye Centroid A,Tianye Centroid S
1,L__mAmyg__1,Left,-14,-2,-20,4111,ParaHippocampal_L,0.9482758620689655,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.7758620689655172,-23,-5,-18,49,mAMY-lh,0.9655172413793104,-20.0,-6.0,-16.0
2,L__mAmyg__2,Left,-20,0,-25,4111,ParaHippocampal_L,0.5294117647058824,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.49019607843137253,-23,-5,-18,48,lAMY-lh,0.9803921568627451,-26.0,-2.0,-22.0
3,L__mAmyg__3,Left,-22,-4,-18,4201,Amygdala_L,1.0,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.94,-23,-5,-18,49,mAMY-lh,0.94,-20.0,-6.0,-16.0
4,L__mAmyg__4,Left,-16,-1,-26,4111,ParaHippocampal_L,1.0,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.0392156862745098,-23,-5,-18,48,lAMY-lh,0.2549019607843137,-26.0,-2.0,-22.0
5,L__mAmyg__5,Left,-16,-5,-18,4201,Amygdala_L,0.5098039215686274,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,49,mAMY-lh,1.0,-20.0,-6.0,-16.0
6,L__mAmyg__6,Left,-23,-1,-23,4201,Amygdala_L,1.0,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,48,lAMY-lh,1.0,-26.0,-2.0,-22.0
7,L__mAmyg__7,Left,-12,-4,-19,4111,ParaHippocampal_L,0.7735849056603774,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.39622641509433965,-23,-5,-18,49,mAMY-lh,0.8679245283018868,-20.0,-6.0,-16.0
8,L__mAmyg__8,Left,-21,-6,-15,4201,Amygdala_L,0.92,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,49,mAMY-lh,1.0,-20.0,-6.0,-16.0
9,L__mAmyg__9,Left,-20,1,-20,4201,Amygdala_L,0.84375,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.609375,-23,-5,-18,49,mAMY-lh,0.578125,-20.0,-6.0,-16.0
10,L__mAmyg__10,Left,-22,-1,-17,4201,Amygdala_L,1.0,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,49,mAMY-lh,0.7058823529411765,-20.0,-6.0,-16.0
11,L__mAmyg__11,Left,-24,1,-26,4201,Amygdala_L,0.68,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.5,-23,-5,-18,48,lAMY-lh,1.0,-26.0,-2.0,-22.0
12,L__mAmyg__12,Left,-14,-5,-15,4101,Hippocampus_L,0.803921568627451,-26,-22,-12,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.7254901960784313,-23,-5,-18,49,mAMY-lh,0.8431372549019608,-20.0,-6.0,-16.0
13,L__mAmyg__13,Left,-17,1,-19,4111,ParaHippocampal_L,0.6964285714285714,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.5357142857142857,-23,-5,-18,49,mAMY-lh,0.7142857142857143,-20.0,-6.0,-16.0
14,L__mAmyg__14,Left,-18,1,-27,4111,ParaHippocampal_L,1.0,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.0,-23,-5,-18,48,lAMY-lh,0.13725490196078433,-26.0,-2.0,-22.0
15,L__mAmyg__15,Left,-19,-3,-20,4201,Amygdala_L,0.7454545454545455,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,49,mAMY-lh,0.8909090909090909,-20.0,-6.0,-16.0
16,L__mAmyg__16,Left,-19,-8,-12,4101,Hippocampus_L,0.7045454545454546,-26,-22,-12,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.9772727272727273,-23,-5,-18,49,mAMY-lh,0.7727272727272727,-20.0,-6.0,-16.0
17,L__mAmyg__17,Left,-23,-3,-20,4201,Amygdala_L,1.0,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,48,lAMY-lh,0.7647058823529411,-26.0,-2.0,-22.0
18,L__mAmyg__18,Left,-13,-1,-23,4111,ParaHippocampal_L,1.0,-21,-18,-22,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.13725490196078433,-23,-5,-18,49,mAMY-lh,0.3137254901960784,-20.0,-6.0,-16.0
19,L__mAmyg__19,Left,-17,-2,-15,4201,Amygdala_L,0.9019607843137255,-24,-2,-19,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.8627450980392157,-23,-5,-18,49,mAMY-lh,0.9607843137254902,-20.0,-6.0,-16.0
20,L__mAmyg__20,Left,-17,-5,-14,4101,Hippocampus_L,0.72,-26,-22,-12,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,0.96,-23,-5,-18,49,mAMY-lh,1.0,-20.0,-6.0,-16.0
21,L__mAmyg__21,Left,-22,-11,-12,4101,Hippocampus_L,0.6521739130434783,-26,-22,-12,211,L_mAmyg,1.0,-19,-2,-20,10,Left_Amygdala,1.0,-23,-5,-18,49,mAMY-lh,0.7391304347826086,-20.0,-6.0,-16.0
